排名,代码,名称,收盘价,MA55,DEA,DIF,贴近度%,位置
1,000650,仁和药业,5.98,5.99,0.0396,0.0179,0.13,下方
2,603936,博敏电子,11.76,11.78,0.1866,0.0319,0.18,下方
3,603307,扬州金泉,41.4,40.96,0.1894,0.1421,1.07,上方
4,000819,岳阳兴长,16.57,16.75,0.0032,0.0922,1.08,下方
5,002507,涪陵榨菜,13.19,12.97,0.0644,0.0834,1.69,上方
6,601033,永兴股份,15.63,15.37,0.0498,0.0849,1.69,上方
7,000729,燕京啤酒,12.28,12.07,0.0722,0.0857,1.69,上方
8,603335,迪生力,5.98,5.87,0.0391,0.0597,1.78,上方
9,300233,金城医药,15.13,15.53,0.0928,0.105,2.64,下方
10,300556,丝路视觉,20.48,19.92,0.1681,0.1583,2.72,上方
11,000859,国风新材,9.9,10.23,0.3197,-0.0996,3.31,下方
12,300380,安硕信息,40.88,42.28,0.0762,-0.3729,3.41,下方
13,601801,皖新传媒,6.9,6.66,0.1007,0.0835,3.44,上方
14,300573,兴齐眼药,69.24,72.27,0.6882,-0.396,4.37,下方
15,603901,永创智能,14.71,14.06,0.3813,0.2265,4.39,上方
16,300496,中科创达,73.8,69.72,2.6104,1.5844,5.53,上方
17,603937,丽岛新材,13.14,12.35,0.1667,0.2326,6.01,上方
18,600810,神马股份,8.34,8.86,0.0304,-0.0246,6.29,下方
19,301520,万邦医药,45.01,42.04,0.9781,0.892,6.59,上方
20,605389,长龄液压,81.38,72.82,2.3601,2.0045,10.52,上方
21,688676,金盘科技,98.46,86.97,3.2062,2.3938,11.67,上方
22,001389,广合科技,106.51,80.52,5.9525,7.2745,24.4,上方
23,300102,乾照光电,39.78,26.42,3.7286,3.8347,33.59,上方
24,300785,值得买,78.15,49.92,6.1025,6.9423,36.12,上方
